scenario_id,T,n1,L,branching,refine_prob,graph_type,tau_phi,r_size,alpha_dir,gamma_lambda,lambda_a0,lambda_b0,p,beta0,beta_vals,x_sd,loge_mean,loge_sd,zi_prob,comp_mode,cp_time,cp_strength,q_drift_sd,q_conc,n_rep,seed_base
S0,104,25,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,1000
S1_T_small,52,25,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,2000
S1_T_large,208,25,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,3000
S2_n1_small,104,16,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,4000
S2_n1_large,104,64,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,5000
S3_overdisp_strong,104,25,2,"4",1.0,grid,4.0,5,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,6000
S3_overdisp_poislike,104,25,2,"4",1.0,grid,4.0,200,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,7000
S4_comp_spiky,104,25,2,"4",1.0,grid,4.0,20,5,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,8000
S4_comp_smooth,104,25,2,"4",1.0,grid,4.0,20,200,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,static,0,1.0,0.00,30,30,9000
S5_zi,104,25,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.10,static,0,1.0,0.00,30,30,10000
S5_comp_cp,104,25,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,changepoint,52,3.0,0.00,30,30,11000
S5_comp_drift,104,25,2,"4",1.0,grid,4.0,20,50,0.98,20,20,2,-7.0,"0.25,-0.15",1.0,9.5,0.3,0.00,drift,0,1.0,0.08,30,30,12000